name,url_picture,date_of_birth,age,height,weight,spike,block
Bieke Kindt,/en/vnl/women/teams/bel-belgium/players/bieke-kindt?id=71424,11/02/2000,19,191,74,302,284
Elise Van Sas,/en/vnl/women/teams/bel-belgium/players/elise-van-sas?id=71427,01/08/1997,22,188,74,296,281
Britt Herbots,/en/vnl/women/teams/bel-belgium/players/britt-herbots?id=71423,24/09/1999,20,182,63,310,290
Nathalie Lemmens,/en/vnl/women/teams/bel-belgium/players/nathalie-lemmens?id=71425,12/03/1995,24,192,85,311,288
Laura Heyrman,/en/vnl/women/teams/bel-belgium/players/laura-heyrman?id=71447,17/05/1993,26,186,74,310,280
Laure Flament,/en/vnl/women/teams/bel-belgium/players/laure-flament?id=71429,18/06/1998,21,182,76,295,282
Celine Van Gestel,/en/vnl/women/teams/bel-belgium/players/celine-van-gestel?id=71431,07/11/1997,22,183,70,310,280
Kaja Grobelna,/en/vnl/women/teams/bel-belgium/players/kaja-grobelna?id=71430,04/01/1995,24,188,72,318,299
Freya Aelbrecht,/en/vnl/women/teams/bel-belgium/players/freya-aelbrecht?id=71428,10/02/1990,29,186,82,308,282
Dominika Sobolska,/en/vnl/women/teams/bel-belgium/players/dominika-sobolska?id=71450,03/12/1991,28,187,83,309,292
Iris Vandewiele,/en/vnl/women/teams/bel-belgium/players/iris-vandewiele?id=71452,07/03/1994,25,189,71,295,286
Dominika Strumilo,/en/vnl/women/teams/bel-belgium/players/dominika-strumilo?id=71436,26/12/1996,23,187,63,311,292
Marlies Janssens,/en/vnl/women/teams/bel-belgium/players/marlies-janssens?id=71434,04/06/1997,22,193,79,312,299
Jutta Van De Vyver,/en/vnl/women/teams/bel-belgium/players/jutta-van-de-vyver?id=71438,11/06/1996,23,175,72,290,270
Karolina Goliat,/en/vnl/women/teams/bel-belgium/players/karolina-goliat?id=71439,25/10/1996,23,189,79,308,295
Ilka Van De Vyver,/en/vnl/women/teams/bel-belgium/players/ilka-van-de-vyver?id=71437,26/01/1993,26,170,79,296,273
Oriane Moulin,/en/vnl/women/teams/bel-belgium/players/oriane-moulin?id=71426,18/02/2000,19,181,63,303,287
Silke Van Avermaet,/en/vnl/women/teams/bel-belgium/players/silke-van-avermaet?id=71444,02/06/1999,20,192,76,311,290
Jodie Guilliams,/en/vnl/women/teams/bel-belgium/players/jodie-guilliams?id=71440,26/04/1997,22,180,73,305,289
Manon Stragier,/en/vnl/women/teams/bel-belgium/players/manon-stragier?id=71442,12/03/1999,20,182,69,308,283
Anna Valkenborg,/en/vnl/women/teams/bel-belgium/players/anna-valkenborg?id=71443,04/01/1998,21,174,59,290,270
Felice Vanassche,/en/vnl/women/teams/bel-belgium/players/felice-vanassche?id=71432,20/07/2000,19,185,71,300,285
Britt Rampelberg,/en/vnl/women/teams/bel-belgium/players/britt-rampelberg?id=71441,05/06/2000,19,165,58,283,269
Charlotte Krenicky,/en/vnl/women/teams/bel-belgium/players/charlotte-krenicky?id=71448,29/06/2000,19,189,80,312,282
Britt Ruysschaert,/en/vnl/women/teams/bel-belgium/players/britt-ruysschaert?id=71449,27/05/1994,25,180,60,302,281
Mara Ferreira Leao,/en/vnl/women/teams/bra-brazil/players/mara-ferreira-leao?id=71722,26/07/1991,28,190,84,320,301
Macris Carneiro,/en/vnl/women/teams/bra-brazil/players/macris-carneiro?id=71716,03/03/1989,30,178,64,292,275
Lara Nobre Cardoso G Filomeno,/en/vnl/women/teams/bra-brazil/players/lara-nobre-cardoso-g-filomeno?id=72483,11/02/1989,30,185,69,306,290
Ana Paula Borgo Bedani Guedes,/en/vnl/women/teams/bra-brazil/players/ana-paula-borgo-bedani-guedes?id=71712,20/10/1993,26,187,76,305,290
Julia Isabelle Bergmann,/en/vnl/women/teams/bra-brazil/players/julia-isabelle-bergmann?id=71711,21/02/2001,18,196,78,301,289
Juma Silva,/en/vnl/women/teams/bra-brazil/players/juma-silva?id=71733,17/01/1993,26,181,68,295,280
Roberta Silva Ratzke,/en/vnl/women/teams/bra-brazil/players/roberta-silva-ratzke?id=71732,28/04/1990,29,185,71,287,278
Gabriela Braga Guimaraes,/en/vnl/women/teams/bra-brazil/players/gabriela-braga-guimaraes?id=71713,19/05/1994,25,180,65,305,289
Tainara Lemes Santos,/en/vnl/women/teams/bra-brazil/players/tainara-lemes-santos?id=71728,09/03/2000,19,190,81,306,289
